"id","state_id:id","country_id:id","name"
city_riyadh_sa_1,state_in_sa_1,base.sa,"Al-Bat'ha"
city_riyadh_sa_2,state_in_sa_1,base.sa,"Al-'Olayya - Sulaymaniyyah"
city_riyadh_sa_3,state_in_sa_1,base.sa,"Nemar"
city_riyadh_sa_4,state_in_sa_1,base.sa,"Irqah"
city_riyadh_sa_5,state_in_sa_1,base.sa,"Al-Shemaysi"
city_riyadh_sa_6,state_in_sa_1,base.sa,"Al-Ma'athar"
city_riyadh_sa_7,state_in_sa_1,base.sa,"Al-Ha'ir"
city_riyadh_sa_8,state_in_sa_1,base.sa,"Al-'Aziziyyah"
city_riyadh_sa_9,state_in_sa_1,base.sa,"Al-Malaz"
city_riyadh_sa_10,state_in_sa_1,base.sa,"Al-Shifa"
city_riyadh_sa_11,state_in_sa_1,base.sa,"Al-Urayja"
city_riyadh_sa_12,state_in_sa_1,base.sa,"Al-Shemal"
city_riyadh_sa_13,state_in_sa_1,base.sa,"Al-Naseem"
city_riyadh_sa_14,state_in_sa_1,base.sa,"Al-Rawdhah"
city_riyadh_sa_15,state_in_sa_1,base.sa,"Al-Selayy"
