"id","city_id:id","state_id:id","country_id:id","name"
distract_albatha_riyadh_sa_1,city_riyadh_sa_1,state_in_sa_1,base.sa,"Al-Deerah (old Riyadh)"
distract_albatha_riyadh_sa_2,city_riyadh_sa_1,state_in_sa_1,base.sa,"Mi'kal"
distract_albatha_riyadh_sa_3,city_riyadh_sa_1,state_in_sa_1,base.sa,"Manfuha"
distract_albatha_riyadh_sa_4,city_riyadh_sa_1,state_in_sa_1,base.sa,"Manfuha Al-Jadidah"
distract_albatha_riyadh_sa_5,city_riyadh_sa_1,state_in_sa_1,base.sa,"Al-'Oud"
distract_albatha_riyadh_sa_6,city_riyadh_sa_1,state_in_sa_1,base.sa,"Al-Mansorah"
distract_albatha_riyadh_sa_7,city_riyadh_sa_1,state_in_sa_1,base.sa,"Al-Margab"
distract_albatha_riyadh_sa_8,city_riyadh_sa_1,state_in_sa_1,base.sa,"Salam"
distract_albatha_riyadh_sa_9,city_riyadh_sa_1,state_in_sa_1,base.sa,"Jabrah"
distract_albatha_riyadh_sa_10,city_riyadh_sa_1,state_in_sa_1,base.sa,"Al-Yamamah"
distract_albatha_riyadh_sa_11,city_riyadh_sa_1,state_in_sa_1,base.sa,"Otayyigah"
distract_olayya_riyadh_sa_1,city_riyadh_sa_2,state_in_sa_1,base.sa,"Al-'Olayya"
distract_olayya_riyadh_sa_2,city_riyadh_sa_2,state_in_sa_1,base.sa,"Al-Sulaymaniyyah"
distract_olayya_riyadh_sa_3,city_riyadh_sa_2,state_in_sa_1,base.sa,"Al Izdihar"
distract_olayya_riyadh_sa_4,city_riyadh_sa_2,state_in_sa_1,base.sa,"King Fahd District"
distract_olayya_riyadh_sa_5,city_riyadh_sa_2,state_in_sa_1,base.sa,"Al-Masif"
distract_olayya_riyadh_sa_6,city_riyadh_sa_2,state_in_sa_1,base.sa,"Al-Murooj"
distract_olayya_riyadh_sa_7,city_riyadh_sa_2,state_in_sa_1,base.sa,"Al-Mugharrazat"
distract_olayya_riyadh_sa_8,city_riyadh_sa_2,state_in_sa_1,base.sa,"Al-Wurood"
distract_nemar_riyadh_sa_1,city_riyadh_sa_3,state_in_sa_1,base.sa,"Nemar"
distract_nemar_riyadh_sa_2,city_riyadh_sa_3,state_in_sa_1,base.sa,"Dharat Nemar"
distract_nemar_riyadh_sa_3,city_riyadh_sa_3,state_in_sa_1,base.sa,"Tuwaiq"
distract_nemar_riyadh_sa_4,city_riyadh_sa_3,state_in_sa_1,base.sa,"Hazm"
distract_nemar_riyadh_sa_5,city_riyadh_sa_3,state_in_sa_1,base.sa,"Deerab"
distract_irqah_riyadh_sa_1,city_riyadh_sa_4,state_in_sa_1,base.sa,"Irqah"
distract_irqah_riyadh_sa_2,city_riyadh_sa_4,state_in_sa_1,base.sa,"Al-Khozama"
distract_irqah_riyadh_sa_3,city_riyadh_sa_4,state_in_sa_1,base.sa,"Diplomatic Quarter"
distract_shemaysi_riyadh_sa_1,city_riyadh_sa_5,state_in_sa_1,base.sa,"Al-Shemaysi"
distract_shemaysi_riyadh_sa_2,city_riyadh_sa_5,state_in_sa_1,base.sa,"Eleyshah"
distract_shemaysi_riyadh_sa_3,city_riyadh_sa_5,state_in_sa_1,base.sa,"Al-Badi'ah"
distract_shemaysi_riyadh_sa_4,city_riyadh_sa_5,state_in_sa_1,base.sa,"Syah"
distract_shemaysi_riyadh_sa_5,city_riyadh_sa_5,state_in_sa_1,base.sa,"Al-Nasriyyah"
distract_shemaysi_riyadh_sa_6,city_riyadh_sa_5,state_in_sa_1,base.sa,"Umm Sleym"
distract_shemaysi_riyadh_sa_7,city_riyadh_sa_5,state_in_sa_1,base.sa,"Al-Ma'athar"
distract_shemaysi_riyadh_sa_8,city_riyadh_sa_5,state_in_sa_1,base.sa,"Umm Al-Hamam (East)"
distract_mathar_riyadh_sa_1,city_riyadh_sa_6,state_in_sa_1,base.sa,"Al-Olayya"
distract_mathar_riyadh_sa_2,city_riyadh_sa_6,state_in_sa_1,base.sa,"Al-Nakheel"
distract_mathar_riyadh_sa_3,city_riyadh_sa_6,state_in_sa_1,base.sa,"King Saud University main campus"
distract_mathar_riyadh_sa_4,city_riyadh_sa_6,state_in_sa_1,base.sa,"Umm Al-Hamam (East)"
distract_mathar_riyadh_sa_5,city_riyadh_sa_6,state_in_sa_1,base.sa,"Umm Al-Hamam (West)"
distract_mathar_riyadh_sa_6,city_riyadh_sa_6,state_in_sa_1,base.sa,"Al-Ma'athar Al-Shimali ("North Ma'athar")"
distract_mathar_riyadh_sa_7,city_riyadh_sa_6,state_in_sa_1,base.sa,"Al-Rahmaniyya"
distract_mathar_riyadh_sa_8,city_riyadh_sa_6,state_in_sa_1,base.sa,"Al-Muhammadiyya"
distract_mathar_riyadh_sa_9,city_riyadh_sa_6,state_in_sa_1,base.sa,"Al-Ra'id"
distract_hair_riyadh_sa_1,city_riyadh_sa_7,state_in_sa_1,base.sa,"Al-Ha'ir"
distract_hair_riyadh_sa_2,city_riyadh_sa_7,state_in_sa_1,base.sa,"Al-Ghannamiyyah"
distract_hair_riyadh_sa_3,city_riyadh_sa_7,state_in_sa_1,base.sa,"Uraydh"
distract_aziziyyah_riyadh_sa_1,city_riyadh_sa_8,state_in_sa_1,base.sa,"Al Aziziyah (Riyadh)"
distract_aziziyyah_riyadh_sa_2,city_riyadh_sa_8,state_in_sa_1,base.sa,"Ad Dar Al Baida"
distract_aziziyyah_riyadh_sa_3,city_riyadh_sa_8,state_in_sa_1,base.sa,"Taybah"
distract_aziziyyah_riyadh_sa_4,city_riyadh_sa_8,state_in_sa_1,base.sa,"Al Mansouriyah"
distract_malaz_riyadh_sa_1,city_riyadh_sa_9,state_in_sa_1,base.sa,"Al-Malaz"
distract_malaz_riyadh_sa_2,city_riyadh_sa_9,state_in_sa_1,base.sa,"Al-Rabwah"
distract_malaz_riyadh_sa_3,city_riyadh_sa_9,state_in_sa_1,base.sa,"Al-Rayyan"
distract_malaz_riyadh_sa_4,city_riyadh_sa_9,state_in_sa_1,base.sa,"Jarir"
distract_malaz_riyadh_sa_5,city_riyadh_sa_9,state_in_sa_1,base.sa,"Al-Murabba"
distract_malaz_riyadh_sa_6,city_riyadh_sa_9,state_in_sa_1,base.sa,"Sinaiyah Qadeem"
distract_shifa_riyadh_sa_1,city_riyadh_sa_10,state_in_sa_1,base.sa,"Al-Masani'"
distract_shifa_riyadh_sa_2,city_riyadh_sa_10,state_in_sa_1,base.sa,"Al-Shifa"
distract_shifa_riyadh_sa_3,city_riyadh_sa_10,state_in_sa_1,base.sa,"Al-Mansuriyya"
distract_shifa_riyadh_sa_4,city_riyadh_sa_10,state_in_sa_1,base.sa,"Al-Marwah"
distract_urayja_riyadh_sa_1,city_riyadh_sa_11,state_in_sa_1,base.sa,"Al-Urayja"
distract_urayja_riyadh_sa_2,city_riyadh_sa_11,state_in_sa_1,base.sa,"Al-Urayja Al-Wusta ("Mid-Urayja")"
distract_urayja_riyadh_sa_3,city_riyadh_sa_11,state_in_sa_1,base.sa,"Al-Urayja (West)"
distract_urayja_riyadh_sa_4,city_riyadh_sa_11,state_in_sa_1,base.sa,"Shubra"
distract_urayja_riyadh_sa_5,city_riyadh_sa_11,state_in_sa_1,base.sa,"Dharat Laban"
distract_urayja_riyadh_sa_6,city_riyadh_sa_11,state_in_sa_1,base.sa,"Hijrat Laban"
distract_urayja_riyadh_sa_7,city_riyadh_sa_11,state_in_sa_1,base.sa,"As-Suwaidi"
distract_urayja_riyadh_sa_8,city_riyadh_sa_11,state_in_sa_1,base.sa,"As-Suwaidi (West)"
distract_urayja_riyadh_sa_9,city_riyadh_sa_11,state_in_sa_1,base.sa,"Dahrat Al-Badi'ah"
distract_urayja_riyadh_sa_10,city_riyadh_sa_11,state_in_sa_1,base.sa,"Sultanah"
distract_shemal_riyadh_sa_1,city_riyadh_sa_12,state_in_sa_1,base.sa,"Al-Malga"
distract_shemal_riyadh_sa_2,city_riyadh_sa_12,state_in_sa_1,base.sa,"Al-Sahafa"
distract_shemal_riyadh_sa_3,city_riyadh_sa_12,state_in_sa_1,base.sa,"Hittin"
distract_shemal_riyadh_sa_4,city_riyadh_sa_12,state_in_sa_1,base.sa,"Al-Wadi"
distract_shemal_riyadh_sa_5,city_riyadh_sa_12,state_in_sa_1,base.sa,"Al-Ghadir"
distract_shemal_riyadh_sa_6,city_riyadh_sa_12,state_in_sa_1,base.sa,"Al-Nafil"
distract_shemal_riyadh_sa_7,city_riyadh_sa_12,state_in_sa_1,base.sa,"Imam Muhammad ibn Saud University main campus"
distract_shemal_riyadh_sa_8,city_riyadh_sa_12,state_in_sa_1,base.sa,"Al-Qayrawan"
distract_shemal_riyadh_sa_9,city_riyadh_sa_12,state_in_sa_1,base.sa,"Al-Aqiq"
distract_shemal_riyadh_sa_10,city_riyadh_sa_12,state_in_sa_1,base.sa,"Al-Arid"
distract_naseem_riyadh_sa_1,city_riyadh_sa_13,state_in_sa_1,base.sa,"Al-Naseem (East)"
distract_naseem_riyadh_sa_2,city_riyadh_sa_13,state_in_sa_1,base.sa,"Al-Naseem (West)"
distract_naseem_riyadh_sa_3,city_riyadh_sa_13,state_in_sa_1,base.sa,"As-Salam"
distract_naseem_riyadh_sa_4,city_riyadh_sa_13,state_in_sa_1,base.sa,"Al-Manar"
distract_naseem_riyadh_sa_5,city_riyadh_sa_13,state_in_sa_1,base.sa,"Al-Rimayah"
distract_naseem_riyadh_sa_6,city_riyadh_sa_13,state_in_sa_1,base.sa,"Al-Nadheem"
distract_rawdhah_riyadh_sa_1,city_riyadh_sa_14,state_in_sa_1,base.sa,"Al-Rawdhah"
distract_rawdhah_riyadh_sa_2,city_riyadh_sa_14,state_in_sa_1,base.sa,"Al-Qadisiyah"
distract_rawdhah_riyadh_sa_3,city_riyadh_sa_14,state_in_sa_1,base.sa,"Al-M'aizliyyah"
distract_rawdhah_riyadh_sa_4,city_riyadh_sa_14,state_in_sa_1,base.sa,"Al-Nahdhah"
